ID,SMILES,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,t-SNE-1,t-SNE-2,UMAP-1,UMAP-2,PC-1(6%),PC-2(4%),FDA,COCONUT,Fragments
B1S_cov,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCC2=CC=CC=C2,403.21072102799997,5,3,1.5373999999999999,113.60000000000001,0.5238095238095238,2,8,10,5.7987294,-87.30211,-2.1462216,7.157292,5.092305465032388,0.3719628514241824,0,0,0
RET_cov,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,284.214015516,1,0,5.716900000000005,17.07,0.45,1,1,5,-23.061283,46.12974,5.905384,3.388787,-0.9718256902395375,-0.05003495597868468,0,CNP0273964.0,0
A1H3M_cov,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)N,265.03685607200003,5,2,-1.5252999999999979,130.24,0.7142857142857143,2,10,3,-39.689816,41.232212,4.8059015,9.795044,-0.7838615968790212,-0.04034619884653505,DB09060,CNP0566067.1,0
0G6_cov,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=CC=C2)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,450.21461653200004,5,4,-0.10629999999999667,156.89999999999998,0.5238095238095238,2,10,11,-6.5925813,-31.006233,3.4725266,8.159315,1.523779849467624,-0.5601539189065108,0,CNP0030056.0,0
4WI_cov,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,499.240639164,5,3,1.0971800000000016,131.4,0.782608695652174,3,12,6,34.010143,-68.701805,-2.5964148,4.0305266,2.838964531615089,0.852120358563345,DB16691,0,0
DWZ_cov,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,383.15149189999994,6,3,-0.30799999999999755,110.18,0.7058823529411765,3,9,5,-67.499146,-9.913397,2.007295,2.9802876,0.1234556614077891,-0.3959470486375247,DB00760,CNP0268126.1,0
A1H3N_cov,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,299.093977024,5,3,-0.3856999999999989,116.22,0.5833333333333334,2,8,6,-62.6142,-11.994279,2.5961947,3.244636,0.17945216901558703,-0.6751816045473676,DB01598,CNP0579802.1,0
PMF_cov,C1=CC=C(C=C1)CS(=O)(=O)F,174.015078684,2,0,1.4859000000000002,34.14,0.14285714285714285,1,4,2,7.9763308,15.747224,6.994929,5.7603126,-1.3103694529384136,-0.7756504914539297,0,0,Frag001
BO2_cov,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,384.19688568000004,6,4,0.36059999999999875,124.44000000000001,0.3684210526315789,2,9,9,7.4941444,-27.644207,3.1897583,6.776073,1.2942804237424357,-1.4103444811439398,DB00188,CNP0447234.1,0
MYR_cov,CCCCCCCCCCCCCC(=O)O,228.208930136,1,1,4.772100000000004,37.3,0.9285714285714286,0,2,12,-28.127615,-3.5220408,3.494841,3.6219127,-1.2412853131513264,-2.13063030745698,0,CNP0497704.0,0
MTN_cov,CC1(C=C(C(N1[O])(C)C)CSS(=O)(=O)C)C,264.072810436,4,0,1.8239,57.28,0.8,1,6,3,-20.027853,10.129456,5.7651267,4.683254,-1.4252358412275465,-0.5667034040271747,0,0,0
E64_cov,CC(C)C[C@@H](C(=O)NCCCCN=C(N)N)NC(=O)[C@H]1[C@@H](O1)C(=O)O,357.20121896399996,5,5,-1.4608999999999939,172.42999999999998,0.7333333333333333,1,10,11,-21.448978,-27.715158,3.6707907,7.257521,1.2452080992572647,-2.440381046548541,0,CNP0341199.2,0
