CBID,Warhead-01,Warhead-02
00K_cov,α-ketoamide,Carbonyl
00L_cov,α-ketoamide,Carbonyl
00N_cov,Ketone,Carbonyl
00Q_cov,Ketone,Carbonyl
01E_cov,α-ketoamide,Carbonyl
02Y_cov,α-diazomethyl_Ketone,Diazomethyl_Carbonyl
03S_cov,Sulfonyl_Halide,Sulfonyl_Halide
042_cov,Epoxide,Epoxide
049_cov,Epoxide@Ketone,Epoxide@Carbonyl
04C_cov,Epoxide@Ketone,Epoxide@Carbonyl
04D_cov,Epoxide@Ketone,Epoxide@Carbonyl
05W_1_cov,Epoxide@Ketone,Epoxide@Carbonyl
05W_2_cov,Epoxide@Ketone,Epoxide@Carbonyl
05W_3_cov,Epoxide@Ketone,Epoxide@Carbonyl
05W_4_cov,Epoxide@Ketone,Epoxide@Carbonyl
05Y_cov,Acrylamide,Michael_Acceptor
06D_cov,Acrylamide,Michael_Acceptor
06Q_cov,α-ketoamide,Carbonyl
074_cov,Epoxide,Epoxide
07E_cov,Epoxide,Epoxide
0AX_cov,α-ketoamide,Carbonyl
0BF_cov,Haloacetamide,Halohydrocarbon
0BO_cov,α-ketoamide,Carbonyl
0BV_cov,Alkyne,Alkyne
0CI_cov,Acrylamide,Michael_Acceptor
0D6_cov,Vinyl_Sulfone,Vinyl_Sulfone
0D8_cov,Aldehyde,Aldehyde
0E6_cov,α-halomethyl_Ketone,Halohydrocarbon
0EF_cov,O-acyl_Hydroxamic_Acid,O-Acyl_Hydroxamic_Acid
0EG_cov,Boronic_Acid,Boronic_Acid
0EI_cov,Acrylamide,Michael_Acceptor
0F0_cov,Acrylamide,Michael_Acceptor
0F7_cov,Ketone,Carbonyl
0FI_cov,Isothiocyanate,Isothiocyanate
0FP_cov,α-ketoamide,Carbonyl
0G3_cov,Acrylamide,Michael_Acceptor
0G6_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0GE_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0GJ_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0H8_cov,Phosphonate_Ester,Phosphonate
0HQ_1_cov,α-diazomethyl_Ketone,Diazomethyl_Carbonyl
0HQ_2_cov,α-diazomethyl_Ketone,Diazomethyl_Carbonyl
0I5_cov,α-halomethyl_Ketone,Halohydrocarbon
0IN_cov,Unclassified,Unclassified
0IW_cov,Vinyl_Sulfone,Vinyl_Sulfone
0JG_cov,α-cyanovinyl_Carbonyl,Michael_Acceptor
0JH_cov,α-cyanovinyl_Carbonyl,Michael_Acceptor
0JT_cov,Acrylamide,Michael_Acceptor
0JU_1_cov,Nitrile,Nitrile
0JU_2_cov,Nitrile,Nitrile
0JU_3_cov,Nitrile,Nitrile
0JU_4_cov,Nitrile,Nitrile
0LB_cov,Nitrile,Nitrile
0LC_cov,Nitrile,Nitrile
0M6_cov,Aldehyde,Aldehyde
0MG_1_cov,α-ketoamide,Carbonyl
0MG_2_cov,α-ketoamide,Carbonyl
0MU_cov,β-lactam,Lactam
0N3_cov,Boronic_Acid,Boronic_Acid
0N4_cov,Boronic_Acid,Boronic_Acid
0NA_cov,Boronic_Acid,Boronic_Acid
0NB_cov,Boronic_Acid,Boronic_Acid
0ND_cov,Boronic_Acid,Boronic_Acid
0NE_cov,Boronic_Acid,Boronic_Acid
0NG_cov,Boronic_Acid,Boronic_Acid
0P2_cov,Boronic_Acid,Boronic_Acid
0PC_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_10_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_11_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_12_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_13_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_14_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_15_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_16_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_17_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_18_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_19_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_1_cov,Haloacetamide,Halohydrocarbon
0QE_20_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_21_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_22_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_23_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_24_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_25_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_26_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_27_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_28_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_29_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_2_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_3_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_4_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_5_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_6_cov,α-halomethyl_Ketone,Halohydrocarbon
0QE_7_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_8_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QE_9_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0QG_cov,Amide,Amide
0RJ_cov,β-lactam,Lactam
0S1_cov,Ketone,Carbonyl
0SK_cov,Nitroarene,Nitroarene
0T4_cov,Nitroso,Nitroso
0TI_cov,α-ketoamide,Carbonyl
0U7_cov,Sulfonyl_Halide,Sulfonyl_Halide
0UA_cov,Sulfonyl_Halide,Sulfonyl_Halide
0UC_cov,Sulfonyl_Halide,Sulfonyl_Halide
0UN_cov,Acrylamide,Michael_Acceptor
0V5_cov,Unclassified,Unclassified
0W0_cov,β-lactam,Lactam
0W6_cov,Acrylamide,Michael_Acceptor
0WN_cov,Acrylamide,Michael_Acceptor
0XY_cov,Glycoside,Glycoside
0YT_cov,Glycoside,Glycoside
0Z6_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0Z7_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0ZE_cov,Ketone,Carbonyl
0ZJ_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
0ZW_cov,Boronic_Acid,Boronic_Acid
0ZX_cov,Boronic_Acid,Boronic_Acid
0ZZ_cov,Ketone,Carbonyl
105_cov,Boronic_Acid,Boronic_Acid
110_cov,Ketone,Carbonyl
13J_cov,Acrylamide,Michael_Acceptor
13L_cov,Acrylamide,Michael_Acceptor
13P_cov,Ketone,Carbonyl
13Z_cov,Ketone,Carbonyl
14U_cov,Carboxylic_Acid,Carboxylic_Acid
14V_cov,Carboxylic_Acid,Carboxylic_Acid
151_cov,γ-lactam,Lactam
157_cov,γ-lactone,Lactone
158_cov,α-acyloxymethyl_Ketone,α-acyloxymethyl_Ketone
160_cov,α-acyloxymethyl_Ketone,α-acyloxymethyl_Ketone
161_cov,α-aryloxymethyl_Ketone,Aryloxymethyl_Carbonyl
166_cov,γ-lactone,Lactone
167_cov,γ-lactone,Lactone
169_cov,β-lactam,Lactam
17J_cov,Urea,Urea_carbonyl
17K_cov,β-lactam,Lactam
17O_cov,β-lactam,Lactam
17Z_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
186_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
18A_cov,Acrylamide,Michael_Acceptor
18J_cov,Vinyl_Sulfonamide,Vinyl_Sulfone
18R_cov,Acrylamide,Michael_Acceptor
197_cov,Aldehyde,Aldehyde
1AD_cov,Nitrile,Nitrile
1BH_cov,Ketone@α-halomethyl_Ketone,Carbonyl@Halohydrocarbon
1BO_cov,Aldehyde@αβ-unsaturated_Carbonyl,Aldehyde@Michael_Acceptor
1C9_cov,Acrylamide,Michael_Acceptor
1E8_cov,Acrylamide,Michael_Acceptor
1F8_cov,Disulfide,Disulfide
1FM_cov,αβ-unsaturated_Carbonyl,Michael_Acceptor
1G1_cov,Vinyl_Sulfone,Vinyl_Sulfone
1G5_cov,Vinyl_Sulfone,Vinyl_Sulfone
1G6_cov,Vinyl_Sulfone,Vinyl_Sulfone
1GP_cov,Epoxide,Epoxide
1HB_1_cov,Aldehyde,Aldehyde
1HB_2_cov,Aldehyde,Aldehyde
1HD_cov,Aldehyde,Aldehyde
1JZ_cov,Ester,Ester
1KA_cov,Aldehyde,Aldehyde
1KR_cov,β-lactone,Lactone
1LB_cov,α-cyanovinyl_Carbonyl,Michael_Acceptor
1LC_cov,α-cyanovinyl_Carbonyl,Michael_Acceptor
1LE_cov,α-cyanovinyl_Carbonyl,Michael_Acceptor
1LK_cov,Nicotinamide_Riboside,Aminium_Ion
1N0_cov,Acrylamide,Michael_Acceptor
1NB_cov,γ-lactone,Lactone
1OG_cov,β-lactam,Lactam
1PN_cov,β-lactam,Lactam
1QL_cov,β-lactam,Lactam
1QX_cov,Phosphonate_Ester,Phosphonate
1QY_cov,Phosphonate_Ester,Phosphonate
1R1_cov,Phosphonate_Ester,Phosphonate
1R3_cov,Alkyne@Phosphoric_Acid,Alkyne@Phosphonate
1RG_cov,β-lactam,Lactam
1S6_cov,β-lactam,Lactam
1T4_cov,Haloacetamide,Halohydrocarbon
1TX_1_cov,Acrylate,Michael_Acceptor
1TX_2_cov,Acrylate,Michael_Acceptor
1U8_1_cov,α-acyloxymethyl_Ketone,α-acyloxymethyl_Ketone
1U8_2_cov,α-acyloxymethyl_Ketone,α-acyloxymethyl_Ketone
1U8_3_cov,α-acyloxymethyl_Ketone,α-acyloxymethyl_Ketone
