CBID,LIGID,PDB,CLASS
00K_cov,00K_PRD_000617,1A46,HYD
00L_cov,00L_PRD_000618,1A5G,HYD
00N_cov,00N_PRD_000619,1A61,HYD
00Q_cov,00Q_PRD_000621,1TBZ,HYD
01E_cov,01E_PRD_000229,2WPO,HYD
02Y_cov,02Y_PRD_000935,3S3J,TRF
03S_cov,03S,5EHX,HYD
03S_cov,03S,5EI5,HYD
03S_cov,03S,5UG1,TRF
03S_cov,03S,7TRR,TRF
042_cov,042,2DC7,HYD
049_cov,049,3UN8,HYD
049_cov,04C_PRD_000991,3UN4,HYD
049_cov,04C,3UNB,HYD
049_cov,04C,3UNF,HYD
049_cov,04C,4QWX,HYD
049_cov,04C,4QXJ,HYD
049_cov,04C,4QZ0,HYD
049_cov,04C,4QZ1,HYD
049_cov,04C,4QZ2,HYD
049_cov,04C,4QZ3,HYD
049_cov,04C,4QZ4,HYD
049_cov,04C,4QZ5,HYD
049_cov,04C,4QZ6,HYD
049_cov,04C,4QZ7,HYD
049_cov,04C,4QZW,HYD
049_cov,04C,4QZX,HYD
049_cov,04C,5CGI,HYD
049_cov,04C,5L5D,HYD
049_cov,04C,5L5X,HYD
049_cov,04C,5L6B,HYD
049_cov,GQK,6HTC,HYD
049_cov,GQK,6HV4,HYD
049_cov,GQK,6HWF,HYD
04C_cov,04C,5L5U,HYD
04C_cov,04C,5L63,HYD
04D_cov,04D,1G65,HYD
04D_cov,6VO,5LF0,HYD
04D_cov,6VO,5OVT,HYD
05W_1_cov,05W,4Y8H,HYD
05W_2_cov,05W,4Y84,HYD
05W_3_cov,05W,4Y8G,HYD
05W_4_cov,05W,4Y8L,HYD
05Y_cov,05Y,7OPR,HYD
06D_cov,06D,7OPQ,HYD
06Q_cov,06Q,7W7O,HYD
06Q_cov,06Q,8GXG,HYD
074_cov,074,1QDQ,HYD
074_cov,074,3HHI,HYD
074_cov,074_PRD_001032,3QSD,HYD
074_cov,074,8T8N,HYD
07E_cov,07E,1REE,HYD
0AX_cov,0AX,8GXH,HYD
0AX_cov,89K,7W34,HYD
0AX_cov,89K,7X79,HYD
0BF_cov,0BF,7F0M,ISO
0BO_cov,0BO,8GXI,HYD
0BO_cov,KJ0,8GX2,HYD
0BO_cov,KJ0,8GX3,HYD
0BV_cov,0BV,3UAS,OXI
0CI_cov,0CI,7N5Y,TRF
0D6_cov,0D6_PRD_000234,1MEM,HYD
0D8_cov,0D8,2N7B,OTR
0D8_cov,0D8,4V37,OXI
0E6_cov,0E6_PRD_000253,1THE,HYD
0EF_cov,0EF_PRD_000260,1SCN,HYD
0EG_cov,0EG_PRD_000261,1P01,HYD
0EI_cov,0EI,7ORE,TRF
0F0_cov,0F0,3V6S,TRF
0F7_cov,0F7_PRD_000271,1DY8,HYD
0FI_cov,0FI,4EF8,OXI
0FI_cov,0FI,6FVH,ISO
0FP_cov,0FP_PRD_000283,1NJU,HYD
0FP_cov,0FP_PRD_000283,1NKM,HYD
0G3_cov,0G3,7ORF,TRF
0G6_cov,0G6,1A0H,HYD
0G6_cov,0G6,1ABJ,HYD
0G6_cov,0G6,1AUT,HYD
0G6_cov,0G6,1DWE,HYD
0G6_cov,0G6,1FXY,HYD
0G6_cov,0G6,1HAI,HYD
0G6_cov,0G6,1HAO,HYD
0G6_cov,0G6,1HAP,HYD
0G6_cov,0G6,1HLT,HYD
0G6_cov,0G6,1NRR,HYD
0G6_cov,0G6,1ORF,HYD
0G6_cov,0G6,1PFX,HYD
0G6_cov,0G6,1PPB,HYD
0G6_cov,0G6,1SFQ,HYD
0G6_cov,0G6_PRD_000020,1SHH,HYD
0G6_cov,0G6,1THP,HYD
0G6_cov,0G6,1TMU,HYD
0G6_cov,0G6,1TQ7,HYD
0G6_cov,0G6,1XMN,HYD
0G6_cov,0G6,1Z8I,HYD
0G6_cov,0G6,1Z8J,HYD
0G6_cov,0G6,2A1D,HYD
0G6_cov,0G6,2A45,HYD
0G6_cov,0G6,2OD3,HYD
0G6_cov,0G6,2PGQ,HYD
0G6_cov,0G6,2THF,HYD
0G6_cov,0G6,3DD2,HYD
0G6_cov,0G6,3F6U,HYD
0G6_cov,0G6,3P6Z,HYD
0G6_cov,0G6,3QLP,HYD
0G6_cov,0G6,3SBK,HYD
0G6_cov,0G6,4CH2,HYD
0G6_cov,0G6,4CH8,HYD
0G6_cov,0G6,4DIH,HYD
0G6_cov,0G6,4DII,HYD
0G6_cov,0G6,4I7Y,HYD
0G6_cov,0G6,4LZ1,HYD
0G6_cov,0G6,4LZ4,HYD
0G6_cov,0G6,4NFF,HYD
0G6_cov,0G6,4RKO,HYD
0G6_cov,0G6,5CMX,HYD
0G6_cov,0G6,5DO4,HYD
0G6_cov,0G6,5E8E,HYD
0G6_cov,0G6,5EW1,HYD
0G6_cov,0G6,5EW2,HYD
0G6_cov,0G6,5JB9,HYD
0G6_cov,0G6,5JBA,HYD
0G6_cov,0G6,5JBC,HYD
0G6_cov,0G6,5TO3,HYD
0G6_cov,0G6,6EO6,HYD
0G6_cov,0G6,6EO7,HYD
0G6_cov,0G6,6EVV,HYD
0G6_cov,0G6,6GN7,HYD
0G6_cov,0G6,6PX5,HYD
0G6_cov,0G6,6QF7,HYD
0G6_cov,0G6,6V64,HYD
0G6_cov,0G6,6Z8V,HYD
0G6_cov,0G6,6Z8W,HYD
0G6_cov,0G6,6Z8X,HYD
0G6_cov,0G6,7NTU,HYD
0G6_cov,0G6,7ZKL,HYD
0G6_cov,0G6,7ZKM,HYD
0G6_cov,0G6,7ZKN,HYD
0G6_cov,0G6,7ZKO,HYD
0G6_cov,0G6,8BW5,HYD
0G6_cov,0G7_PRD_000021,2FIR,HYD
0G6_cov,0G7,2HPP,HYD
0G6_cov,0G7,2HPQ,HYD
0G6_cov,DFK,3E6P,HYD
0GE_cov,0GE_PRD_000287,1CVW,HYD
0GE_cov,0GE,3TH4,HYD
0GJ_cov,0GJ_PRD_000288,1A5I,HYD
0GJ_cov,0GJ,1BQY,HYD
0GJ_cov,0GJ,1BUI,HYD
0GJ_cov,0GJ,1DX5,HYD
0GJ_cov,0GJ,1LMW,HYD
0GJ_cov,0GJ,4BXW,HYD
0GJ_cov,0GJ,5JB8,HYD
0GJ_cov,0GJ,5JBB,HYD
0GJ_cov,0GJ,5LHQ,HYD
0GJ_cov,0GJ,5WI6,HYD
0GJ_cov,0GJ,6RFK,HYD
0GJ_cov,0GJ,6VVU,HYD
0GJ_cov,0GJ,7AHU,HYD
0GJ_cov,0GJ,7AHV,HYD
0GJ_cov,0GJ,8OL9,HYD
0GJ_cov,0GJ,9I24,HYD
0GJ_cov,0GJ,9I2H,HYD
0H8_cov,0H8_PRD_000756,1AU8,HYD
0HQ_1_cov,0HQ_PRD_000309,1KHP,HYD
0HQ_1_cov,0HQ,1KHQ,HYD
0HQ_2_cov,0HQ_PRD_000337,1GEC,HYD
0I5_cov,0I5_PRD_000312,1EWP,HYD
0IN_cov,0IN,3JSG,ISO
0IW_cov,0IW_PRD_000325,1FH0,HYD
0IW_cov,0IW,3S3R,HYD
0IW_cov,0IW,8HE9,HYD
0IW_cov,0IW,8HFV,HYD
0JG_cov,0JG,4D9T,TRF
0JH_cov,0JH,4D9U,TRF
0JT_cov,0JT_PRD_001047,4GK7,HYD
0JU_1_cov,0JU_PRD_000913,3VB7,HYD
0JU_2_cov,0JU_PRD_000910,3VB4,HYD
0JU_3_cov,0JU_PRD_000911,3VB5,HYD
0JU_4_cov,0JU_PRD_000912,3VB6,HYD
0LB_cov,0LB,4DMX,HYD
0LC_cov,0LC,4DMY,HYD
0M6_cov,0M6,2G8E,HYD
0MG_1_cov,0MG_PRD_000428,1TMB,HYD
0MG_2_cov,0MG,1DIT,HYD
0MU_cov,0MU,1PWD,HYD
0N3_cov,0N3,4E3I,HYD
0N3_cov,0N3,8CUL,HYD
0N3_cov,A1J,5WAE,HYD
0N4_cov,0N4,4E3J,HYD
0N4_cov,A1M,5WAC,HYD
0NA_cov,0NA,4E3K,HYD
0NA_cov,QQZ,5WAD,HYD
0NB_cov,0NB,4E3L,HYD
0ND_cov,0ND,4E3M,HYD
0NE_cov,0NE,4E3N,HYD
0NE_cov,A0Y,5WAF,HYD
0NG_cov,0NG,4E3O,HYD
0NG_cov,0NG,4E6X,HYD
0P2_cov,0P2_PRD_000329,5EST,HYD
0PC_cov,0PC_PRD_000333,6PAD,HYD
0QE_10_cov,0QE_PRD_000286,1S4V,HYD
0QE_10_cov,2YS_PRD_001230,4Q80,HYD
0QE_11_cov,0QE_PRD_000295,1QDU,HYD
0QE_12_cov,0QE,5MT7,HYD
0QE_13_cov,0QE_PRD_002086,4AW9,HYD
0QE_13_cov,0QE,4AWA,HYD
0QE_13_cov,0QE,5LU8,HYD
0QE_13_cov,0QE,5LU9,HYD
0QE_13_cov,0QE,5OBT,HYD
0QE_14_cov,TYW_PRD_000977,3TJU,HYD
0QE_15_cov,HPH_PRD_000381,1PJP,HYD
0QE_15_cov,K7J,2QXH,HYD
0QE_15_cov,K7J,2QXI,HYD
0QE_15_cov,K7J,2QXJ,HYD
0QE_16_cov,0QE,2ZKS,HYD
0QE_17_cov,0QE,6VGQ,HYD
0QE_18_cov,0QE,6BZ9,HYD
0QE_19_cov,0QE_PRD_001030,3I74,HYD
0QE_1_cov,0QE_PRD_002087,4AWB,HYD
0QE_20_cov,LYK_PRD_000246,2ID4,HYD
0QE_21_cov,0QE,2WUC,HYD
0QE_21_cov,AR7_PRD_000307,1Z8G,HYD
0QE_21_cov,AR7,2WUC,HYD
0QE_22_cov,0QE_PRD_000277,2CJX,HYD
0QE_22_cov,0QE,2CJY,HYD
0QE_23_cov,LYK,1EKB,HYD
0QE_24_cov,0QE,5MT8,HYD
0QE_25_cov,AR7_PRD_000285,2PUQ,HYD
0QE_26_cov,0QE_PRD_000278,1P8J,HYD
0QE_26_cov,0QE,5JMO,HYD
0QE_26_cov,0QE,6KD5,HYD
0QE_26_cov,AR7,5JMO,HYD
0QE_26_cov,AR7,6KD5,HYD
0QE_27_cov,0QE_PRD_000457,1P9U,HYD
0QE_28_cov,0QE_PRD_000379,1FPH,HYD
0QE_29_cov,0QE,1DE7,HYD
0QE_2_cov,0QE_PRD_001252,4QO2,HYD
0QE_3_cov,ALV_PRD_000402,1HNE,HYD
0QE_3_cov,ALV,2RDL,HYD
0QE_3_cov,ALV,3PRK,HYD
0QE_4_cov,0QE_PRD_000419,1PAD,HYD
0QE_5_cov,0QE,1M72,HYD
0QE_5_cov,0QE,4JR2,HYD
0QE_5_cov,AKZ_PRD_000924,4JR0,HYD
0QE_5_cov,AKZ,4JR1,HYD
0QE_6_cov,0QE_PRD_000334,5PAD,HYD
0QE_7_cov,HPH,1DLK,HYD
0QE_7_cov,Y3A_PRD_001053,4HXF,HYD
0QE_7_cov,Y3A,4RE5,HYD
0QE_7_cov,Y3A,4RE6,HYD
0QE_8_cov,0QE_PRD_001251,4QNZ,HYD
0QE_8_cov,0QE,4QO0,HYD
0QE_9_cov,VAI_PRD_000414,1PPG,HYD
0QG_cov,0QG_PRD_000357,2AJB,HYD
0RJ_cov,0RJ,4MBH,HYD
0RJ_cov,SR3,3RXW,HYD
0S1_cov,0S1,4F21,HYD
0SK_cov,0SK,4F4Q,OXI
0SK_cov,0SK,6HEZ,OXI
0T4_cov,0T4,4FDN,OXI
0T4_cov,0T4,4FF6,OXI
0TI_cov,0TI,7GS5,HYD
0TI_cov,72R,6AFC,HYD
0TI_cov,WV0,7FQZ,HYD
0U7_cov,0U7,4FI6,OTR
0UA_cov,0UA,4FI7,OTR
0UC_cov,0UC,4FI8,OTR
0UN_cov,0UN,3IKA,TRF
0V5_cov,0V5,5U4H,TRF
0V5_cov,0V5,5WI5,TRF
0V5_cov,0V5,6CN1,TRF
0V5_cov,0V5,6NKJ,TRF
0W0_cov,0W0,4FSF,TRF
0W6_cov,0W6_PRD_001018,4FZC,HYD
0W6_cov,0W6_PRD_001018,4FZG,HYD
0WN_cov,0WN,4G5J,TRF
0WN_cov,0WN,4G5P,TRF
0WN_cov,0WN,6ZU8,OTR
0XY_cov,0XY,4GVH,HYD
0YT_cov,0YT,4GZ3,TRF
0Z6_cov,0Z6_PRD_000369,1DAN,HYD
0Z6_cov,0Z6,1DVA,HYD
0Z6_cov,0Z6,1J9C,HYD
0Z6_cov,0Z6,1QFK,HYD
0Z6_cov,0Z6,3ELA,HYD
0Z6_cov,0Z6,4Z6A,HYD
0Z6_cov,0Z6,4ZMA,HYD
0Z6_cov,2YT,4Q7Z,HYD
0Z7_cov,0Z7,4YLQ,HYD
0Z7_cov,0Z7,6R2W,HYD
0ZE_cov,0ZE,1B5G,HYD
0ZJ_cov,0ZJ,1NU7,HYD
0ZJ_cov,0ZJ_PRD_000377,1NU9,HYD
0ZW_cov,0ZW_PRD_000388,1BTW,HYD
0ZW_cov,0ZY,1BTZ,HYD
0ZX_cov,0ZX_PRD_000389,1BTX,HYD
